id,ingredient_name
71,Simple Syrup
71,Milk
72,Simple Syrup
72,3 oz  soda
72,Lemon
72,2 oz  Brandy
72,Maraschino cherry
72,Orange
73,2 oz  Brandy
73,Lemon
73,Simple Syrup
73,Lemon
73,Cherry
75,2 oz Whiskey
75,1 oz Dry Vermouth
75,0.25 oz Cherry Liqueur
75,3 dashes Bitters
75,Maraschino Cherry
76,50 ml Vodka
76,25 ml Cranberry Juice
76,25 ml Lemon Juice
76,10 ml Orange Liqueur
76,Simple Syrup
76,Dash Lime Juice
76,mint
77,Simple Syrup
77,Lime
77,2.5 oz  rum
78,Lime
78,Simple Syrup
78,2.5 oz  rum
78,ice
79,2 oz  Whiskey
79,35ml  Lemon
79,35ml  Lime
79,Simple Syrup
79,Simple Syrup
79,Soda
80,0.75 oz  Coffee Liqueur
80,0.75 oz  Herbal Liqueur
80,Fill with  soda
82,2 oz  Rum
82,1.5 tsp  Orange Liqueur
82,1.5 tsp  Lime juice
82,1.5 tsp  Cherry Liqueur
83,2 oz  Gin
83,0.25 tsp  Cherry Liqueur
83,0.25 tsp  Lemon juice
83,2 dashes  Bitters
83,Cherry
84,2 oz  Gin
84,0.5 oz  Lemon juice
84,1 tsp  Cherry Liqueur
84,1 dash  Bitters
84,milk
85,1.25 oz  Rum
85,1.5 tsp  Cherry brandy
85,1 tblsp  Milk
86,1 oz  Rum
86,1 oz  Pot Wine
86,Juice of 0.5  Lemon
86,Simple Syrup
86,milk
86,Soda
87,2 oz  Brandy
87,0.5 oz  Orange Liqueur
87,1 tblsp  Lemon juice
88,3 dashes  Bitters
88,1 tsp  Water
88,Simple Syrup
88,3 oz  Whiskey
88,1  Orange
88,1  Maraschino cherry
89,1 oz  Sweet Vermouth
89,0.5 oz  gin
89,0.5 oz Pot Wine
90,1.5 oz  Gin
90,Simple Syrup
90,Juice of 0.5  Lemon
90,milk
91,0.5 Lime
91,Simple Syrup
91,2 dashes Bitters
91,1 oz rum
91,1 oz rum
92,1.25 oz  Vodka
92,0.25 oz  Lime juice
92,0.25 oz  Orange Liqueur
92,2 oz  Cranberry juice
93,0.5 oz  Orange Liqueur
93,1 oz  Vodka
93,Juice of 0.5  Lime
93,1 dash  Cranberry juice
94,1.5 oz  Rum
94,Juice of 0.5  Lime
94,Simple Syrup
95,Simple Syrup
95,1 Lime
95,2.5 oz rum
96,1 part  Cherry Liqueur
96,1 part  soda
96,1 part  Orange juice
96,ice
97,1.5 oz  Gin
97,0.5 oz  Dry Vermouth
97,1  olive_garnish
98,2.5 oz  Whiskey
98,1.5 tsp  Dry Vermouth
98,1 twist of  Lemon peel
99,Simple Syrup
99,6 oz Milk
99,6 oz  soda
100,0.75 oz  Brandy
100,0.75 oz  Gin
100,0.75 oz  Sweet Vermouth
100,Soda
100,Lemon peel
101,0.75 oz  Brandy
101,1.5 oz  Gin
101,0.75 oz  Dry Vermouth
101,Simple Syrup
101,0.25 tsp  Lemon juice
101,cherry
102,5 cl Vodka
250,1 cl Coffee Liqueur
250,simple_syrup
103,2 oz  Gin
